recall_id,study_id,period,survey_type,location_id,location_type,site_id,household_id,HPD,HDI,REM,FCI,education,num_participants,num_ame,days,mdays,consumption,frequency,quantity
827,5,1,3,3,3,3,1873,26.973,0.63,823.0665874,7713.441681,6,5,4,1,9,0,0,0
828,5,1,3,3,3,3,1878,26.973,0.63,823.0665874,7713.441681,3,6,4,1,9,0,0,0
829,5,1,3,3,3,3,1885,26.973,0.63,823.0665874,7713.441681,3,2,1,1,9,1,0.111111111,0.976
830,5,1,3,9,2,9,1895,2.841,0.568,936.1159763,3791.490837,5,6,4,1,8,0,0,0
831,5,1,3,9,2,9,1902,2.841,0.568,936.1159763,3791.490837,5,3,3,1,9,0,0.111111111,0
832,5,1,3,9,2,9,1907,2.841,0.568,936.1159763,3791.490837,2,8,5,1,9,0,0.222222222,0
833,5,1,3,9,2,9,1917,2.841,0.568,936.1159763,3791.490837,2,2,2,1,9,1,0.555555556,2.876
834,5,1,3,7,2,7,1973,23.934,0.598,575.910379,8236.212966,5,5,4,1,7,0,0,0
835,5,1,3,3,3,3,1980,26.973,0.63,823.0665874,7713.441681,3,3,2,1,9,1,0.444444444,-1
836,6,1,3,10,1,10,1984,0.648,0.568,1212.560906,6366.571658,4,8,5,1,9,0,0.444444444,0
837,6,1,3,10,1,10,1985,0.648,0.568,1212.560906,6366.571658,4,5,4,1,9,1,0.222222222,13.436
838,6,1,3,9,2,9,2001,2.841,0.568,936.1159763,3791.490837,2,3,3,1,9,0,0,0
839,6,1,3,9,2,9,2010,2.841,0.568,936.1159763,3791.490837,2,3,3,1,9,0,0.111111111,0
840,6,1,3,2,2,2,2022,2.226,0.63,1217.544265,8834.653023,5,5,5,1,9,1,0.555555556,4.896
841,6,1,3,9,2,9,2029,2.841,0.568,936.1159763,3791.490837,2,9,6,1,9,0,0.222222222,0
842,6,1,3,9,2,9,2031,2.841,0.568,936.1159763,3791.490837,5,2,2,1,9,1,0.555555556,2.732
843,6,1,3,9,2,9,2033,2.841,0.568,936.1159763,3791.490837,2,4,4,1,9,0,0.111111111,0
844,6,1,3,7,2,7,2046,23.934,0.598,575.910379,8236.212966,2,11,8,1,9,0,0,0
845,6,1,3,7,2,7,2048,23.934,0.598,575.910379,8236.212966,2,11,9,1,9,0,0.222222222,0
846,6,1,3,10,1,10,2052,0.648,0.568,1212.560906,6366.571658,4,4,3,1,9,0,0.222222222,0
847,6,1,3,7,2,7,2064,23.934,0.598,575.910379,8236.212966,2,2,2,1,9,0,0.222222222,0
848,6,1,3,3,3,3,2083,26.973,0.63,823.0665874,7713.441681,3,13,10,1,10,0,0.1,0
